state,city,SUM of last_available_confirmed,SUM of new_confirmed_7day_rolling,SUM of last_available_deaths,SUM of new_deaths_7day_rolling,MIN of date,MIN of estimated_population_2019
BA,Itabuna,31699,74,605,1,6/15/2021,213223
BA,ItacarÃ©,1174,2,26,0,6/15/2021,28296
BA,ItaetÃ©,312,0,6,0,6/15/2021,16056
BA,Itagi,780,3,18,0,6/15/2021,12351
BA,ItagibÃ¡,1132,6,21,0,6/15/2021,14579
BA,Itagimirim,648,2,14,0,6/15/2021,6869
BA,ItaguaÃ§u da Bahia,568,1,6,0,6/15/2021,14429
BA,Itaju do ColÃ´nia,383,1,6,0,6/15/2021,6682
BA,ItajuÃ?pe,2481,8,50,0,6/15/2021,20491
BA,Itamaraju,6881,39,135,1,6/15/2021,64486
BA,Itamari,454,1,7,0,6/15/2021,8035
BA,ItambÃ©,1687,5,20,0,6/15/2021,23049
BA,Itanagra,246,1,6,0,6/15/2021,6441
BA,ItanhÃ©m,1265,3,32,0,6/15/2021,19405
BA,Itaparica,1185,10,32,1,6/15/2021,22228
BA,ItapÃ©,740,3,26,0,6/15/2021,8761
BA,Itapebi,513,3,18,0,6/15/2021,10259
BA,Itapetinga,5018,4,124,0,6/15/2021,76147
BA,Itapicuru,1446,7,19,0,6/15/2021,35576
BA,Itapitanga,902,1,16,0,6/15/2021,10313
BA,Itaquara,637,4,6,0,6/15/2021,8319
BA,Itarantim,684,1,18,0,6/15/2021,19747
BA,Itatim,705,5,24,0,6/15/2021,14487
BA,ItiruÃ§u,890,2,19,0,6/15/2021,12576
BA,ItiÃºba,1492,3,31,0,6/15/2021,36089
BA,ItororÃ?,3075,1,31,0,6/15/2021,20382
BA,ItuaÃ§u,1523,8,23,0,6/15/2021,18962
BA,ItuberÃ¡,1609,7,45,0,6/15/2021,28602
BA,Iuiu,550,13,6,0,6/15/2021,10994
BA,Jaborandi,579,1,7,0,6/15/2021,8385
BA,Jacaraci,546,4,13,0,6/15/2021,14842
BA,Jacobina,6121,13,81,1,6/15/2021,80518
BA,Jaguaquara,5907,9,57,0,6/15/2021,54423
BA,Jaguarari,1999,6,40,0,6/15/2021,33570
BA,Jaguaripe,1011,7,15,0,6/15/2021,18788
BA,JandaÃ?ra,574,0,13,0,6/15/2021,10709
BA,JequiÃ©,16121,40,330,1,6/15/2021,155966
BA,Jeremoabo,1810,7,43,0,6/15/2021,40463
BA,JiquiriÃ§Ã¡,837,5,24,0,6/15/2021,14537
BA,JitaÃºna,795,1,24,0,6/15/2021,11166
BA,JoÃ£o Dourado,1615,6,42,0,6/15/2021,25188
BA,Juazeiro,15618,55,331,1,6/15/2021,216707
BA,JucuruÃ§u,866,1,11,0,6/15/2021,9126
BA,Jussara,609,3,7,0,6/15/2021,15284
BA,Jussari,645,0,9,0,6/15/2021,5833
BA,Jussiape,292,1,7,0,6/15/2021,6186
BA,Lafaiete Coutinho,397,1,5,0,6/15/2021,3724
BA,Lagoa Real,585,6,7,0,6/15/2021,15665
BA,Laje,1643,11,26,0,6/15/2021,23840
BA,LajedÃ£o,439,3,7,0,6/15/2021,3955
BA,Lajedinho,289,1,1,0,6/15/2021,3783
BA,Lajedo do Tabocal,632,3,11,0,6/15/2021,8562
BA,LamarÃ£o,254,2,5,0,6/15/2021,8307
BA,LapÃ£o,2034,3,32,0,6/15/2021,27223
BA,Lauro de Freitas,21032,80,456,2,6/15/2021,198440
BA,LenÃ§Ã?is,949,2,17,0,6/15/2021,11409
BA,LicÃ?nio de Almeida,282,4,9,0,6/15/2021,12388
BA,Livramento de Nossa Senhora,2527,12,55,0,6/15/2021,45732
BA,LuÃ?s Eduardo MagalhÃ£es,9397,96,105,0,6/15/2021,87519
BA,Macajuba,431,3,5,0,6/15/2021,11348
BA,Macarani,873,0,22,0,6/15/2021,18755
BA,MacaÃºbas,2094,7,18,0,6/15/2021,49826
BA,MacururÃ©,256,8,6,0,6/15/2021,7824
BA,Madre de Deus,2541,7,41,0,6/15/2021,21093
BA,Maetinga,255,3,6,0,6/15/2021,3161
BA,Maiquinique,759,2,10,0,6/15/2021,10112
BA,Mairi,1155,8,13,0,6/15/2021,18676
BA,Malhada,372,0,20,0,6/15/2021,16845
BA,Malhada de Pedras,248,0,9,0,6/15/2021,8393
BA,Manoel Vitorino,1097,5,26,0,6/15/2021,13240
BA,MansidÃ£o,162,1,3,0,6/15/2021,13643
BA,MaracÃ¡s,3169,13,62,0,6/15/2021,20834
BA,Maragogipe,1914,5,37,0,6/15/2021,44677
BA,MaraÃº,1547,7,16,0,6/15/2021,20570
BA,MarcionÃ?lio Souza,442,5,13,0,6/15/2021,10406
BA,Mascote,791,2,20,0,6/15/2021,13822
BA,Mata de SÃ£o JoÃ£o,4024,15,56,0,6/15/2021,46583
BA,Matina,353,8,7,0,6/15/2021,12201
BA,Medeiros Neto,2517,8,49,0,6/15/2021,22688
BA,Miguel Calmon,2239,9,25,0,6/15/2021,26023
BA,Milagres,472,3,4,0,6/15/2021,10950
BA,Mirangaba,488,1,8,0,6/15/2021,18338
BA,Mirante,446,2,7,0,6/15/2021,8641
BA,Monte Santo,1133,9,44,0,6/15/2021,49418
BA,MorparÃ¡,286,2,12,0,6/15/2021,8519
BA,Morro do ChapÃ©u,2297,9,23,0,6/15/2021,35413
BA,Mortugaba,608,2,10,0,6/15/2021,12042
BA,MucugÃª,495,2,9,0,6/15/2021,9062
BA,Mucuri,3257,16,54,0,6/15/2021,41748
BA,Mulungu do Morro,599,1,11,0,6/15/2021,10889
BA,Mundo Novo,795,3,7,0,6/15/2021,26776
BA,Muniz Ferreira,863,3,3,0,6/15/2021,7422
BA,MuquÃ©m do SÃ£o Francisco,579,4,7,0,6/15/2021,11348
BA,Muritiba,2116,5,22,0,6/15/2021,29399
BA,MutuÃ?pe,1823,10,21,0,6/15/2021,22221
BA,NazarÃ©,2436,20,39,0,6/15/2021,28525
BA,Nilo PeÃ§anha,585,3,15,0,6/15/2021,13997
BA,Nordestina,606,1,28,0,6/15/2021,13130
BA,Nova CanaÃ£,597,2,19,0,6/15/2021,16462
BA,Nova FÃ¡tima,456,1,5,0,6/15/2021,7812
BA,Nova IbiÃ¡,587,1,21,0,6/15/2021,6591
BA,Nova Itarana,733,1,7,0,6/15/2021,8226
BA,Nova RedenÃ§Ã£o,195,1,3,0,6/15/2021,9118
BA,Nova Soure,666,4,22,0,6/15/2021,26947
BA,Nova ViÃ§osa,2312,10,44,0,6/15/2021,43376
BA,Novo Horizonte,284,6,4,0,6/15/2021,12385
BA,Novo Triunfo,529,5,5,0,6/15/2021,15440
BA,Olindina,1310,5,17,0,6/15/2021,28229
BA,Oliveira dos Brejinhos,657,7,12,0,6/15/2021,21825
BA,OuriÃ§angas,435,3,7,0,6/15/2021,8564
BA,OurolÃ¢ndia,1639,5,13,0,6/15/2021,17451
BA,Palmas de Monte Alto,639,9,12,0,6/15/2021,21750
BA,Palmeiras,227,0,7,0,6/15/2021,9019
BA,Paramirim,499,3,17,0,6/15/2021,21607
BA,Paratinga,1117,3,19,0,6/15/2021,32000
BA,Paripiranga,971,6,26,1,6/15/2021,28989
BA,Pau Brasil,875,4,21,0,6/15/2021,9831
BA,Paulo Afonso,7596,66,175,1,6/15/2021,117782
BA,PÃ© de Serra,1392,1,6,0,6/15/2021,13578
BA,PedrÃ£o,289,0,3,0,6/15/2021,7347
BA,Pedro Alexandre,490,3,8,0,6/15/2021,16667
